89,11/22/63,Stephen King,Science Fiction,Yes
2,1984,George Orwell,Dystopian,Yes
55,"20,000 Leagues Under the Sea",Jules Verne,Science Fiction,No
36,A Farewell to Arms,Ernest Hemingway,War,No
23,A Tale of Two Cities,Charles Dickens,Historical Fiction,No
71,A Thousand Splendid Suns,Khaled Hosseini,Drama,Yes
78,Angels & Demons,Dan Brown,Thriller,Yes
14,Anna Karenina,Leo Tolstoy,Classic,No
56,Around the World in 80 Days,Jules Verne,Adventure,No
31,Beloved,Toni Morrison,Historical Fiction,No
12,Brave New World,Aldous Huxley,Dystopian,Yes
84,Carrie,Stephen King,Horror,No
28,Catch-22,Joseph Heller,Satire,Yes
10,Crime and Punishment,Fyodor Dostoevsky,Classic,No
61,David Copperfield,Charles Dickens,Classic,Yes
79,Digital Fortress,Dan Brown,Thriller,No
22,Don Quixote,Miguel de Cervantes,Satire,No
20,Dracula,Bram Stoker,Horror,Yes
91,Dune,Frank Herbert,Science Fiction,Yes
59,Emma,Jane Austen,Romance,Yes
94,Ender's Game,Orson Scott Card,Science Fiction,Yes
38,Fahrenheit 451,Ray Bradbury,Dystopian,Yes
95,Foundation,Isaac Asimov,Science Fiction,No
21,Frankenstein,Mary Shelley,Science Fiction,Yes
73,Gone with the Wind,Margaret Mitchell,Historical Fiction,No
18,Great Expectations,Charles Dickens,Classic,Yes
42,Heart of Darkness,Joseph Conrad,Novella,Yes
96,"I, Robot",Isaac Asimov,Science Fiction,Yes
80,Inferno,Dan Brown,Thriller,Yes
82,It,Stephen King,Horror,No
6,Jane Eyre,Charlotte Brontë,Romance,No
16,Les Misérables,Victor Hugo,Historical Fiction,No
69,Life of Pi,Yann Martel,Adventure,No
46,Little Women,Louisa May Alcott,Classic,Yes
27,Lolita,Vladimir Nabokov,Literary Fiction,Yes
65,Meditations,Marcus Aurelius,Philosophy,No
74,Memoirs of a Geisha,Arthur Golden,Historical Fiction,No
33,Middlemarch,George Eliot,Classic,Yes
83,Misery,Stephen King,Thriller,No
5,Moby Dick,Herman Melville,Adventure,No
92,Neuromancer,William Gibson,Cyberpunk,No
62,Oliver Twist,Charles Dickens,Classic,Yes
25,One Hundred Years of Solitude,Gabriel García Márquez,Magical Realism,Yes
100,Oryx and Crake,Margaret Atwood,Dystopian,No
58,Persuasion,Jane Austen,Romance,Yes
87,Pet Sematary,Stephen King,Horror,No
51,Peter Pan,J.M. Barrie,Fantasy,Yes
3,Pride and Prejudice,Jane Austen,Romance,No
98,Ready Player One,Ernest Cline,Science Fiction,Yes
44,Rebecca,Daphne du Maurier,Gothic,No
88,Salem's Lot,Stephen King,Horror,Yes
60,Sense and Sensibility,Jane Austen,Romance,Yes
30,Slaughterhouse-Five,Kurt Vonnegut,Science Fiction,No
93,Snow Crash,Neal Stephenson,Cyberpunk,No
24,The Alchemist,Paulo Coelho,Philosophical Fiction,No
67,The Art of War,Sun Tzu,Military Strategy,No
68,The Book Thief,Markus Zusak,Historical Fiction,No
17,The Brothers Karamazov,Fyodor Dostoevsky,Philosophical Fiction,No
49,The Call of the Wild,Jack London,Adventure,Yes
8,The Catcher in the Rye,J.D. Salinger,Fiction,Yes
43,The Count of Monte Cristo,Alexandre Dumas,Adventure,Yes
77,The Da Vinci Code,Dan Brown,Thriller,Yes
26,The Divine Comedy,Dante Alighieri,Epic,No
76,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,No
29,The Grapes of Wrath,John Steinbeck,Historical Fiction,Yes
4,The Great Gatsby,F. Scott Fitzgerald,Classic,No
99,The Handmaid's Tale,Margaret Atwood,Dystopian,No
75,The Help,Kathryn Stockett,Historical Fiction,No
9,The Hobbit,J.R.R. Tolkien,Fantasy,No
57,The Hunchback of Notre-Dame,Victor Hugo,Gothic,No
86,The Institute,Stephen King,Thriller,Yes
52,The Jungle Book,Rudyard Kipling,Children's Fiction,No
70,The Kite Runner,Khaled Hosseini,Drama,Yes
11,The Lord of the Rings,J.R.R. Tolkien,Fantasy,Yes
97,The Martian,Andy Weir,Science Fiction,Yes
39,The Metamorphosis,Franz Kafka,Absurdist,No
15,The Odyssey,Homer,Epic,Yes
35,The Old Man and the Sea,Ernest Hemingway,Fiction,Yes
90,The Outsider,Stephen King,Thriller,No
19,The Picture of Dorian Gray,Oscar Wilde,Gothic,No
63,The Prince,Niccolò Machiavelli,Political Philosophy,Yes
64,The Republic,Plato,Philosophy,No
72,The Road,Cormac McCarthy,Post-apocalyptic,No
45,The Secret Garden,Frances Hodgson Burnett,Children's Fiction,No
81,The Shining,Stephen King,Horror,Yes
32,The Sound and the Fury,William Faulkner,Southern Gothic,Yes
85,The Stand,Stephen King,Post-apocalyptic,No
40,The Stranger,Albert Camus,Philosophical Fiction,No
37,The Sun Also Rises,Ernest Hemingway,Fiction,Yes
53,The Time Machine,H.G. Wells,Science Fiction,Yes
41,The Trial,Franz Kafka,Philosophical Fiction,No
54,The War of the Worlds,H.G. Wells,Science Fiction,Yes
47,The Wind in the Willows,Kenneth Grahame,Children's Fiction,Yes
66,Thus Spoke Zarathustra,Friedrich Nietzsche,Philosophy,Yes
1,To Kill a Mockingbird,Harper Lee,Fiction,Yes
48,Treasure Island,Robert Louis Stevenson,Adventure,No
34,Ulysses,James Joyce,Modernist,No
7,War and Peace,Leo Tolstoy,Historical Fiction,Yes
50,White Fang,Jack London,Adventure,No
13,Wuthering Heights,Emily Brontë,Romance,No
